,,,,,,Dollars,Dollars,Dollars,Units,Units,Units
2018-07-12,Booooze,Alcohol,Liquor,80432400630,Glenlivet - 12 Year Scotch Whisky - 750 mL Bottle,,250.25,455.13,,7.0,13.0
2018-07-12,Booooze,Alcohol,Liquor,674545000001,Don Julio - Tequila Blanco - 750 mL Bottle,,410.88,268.56,,12.0,9.0
2018-07-12,Booooze,Beer,Ales,702770082018,Omission Pale Ale - Gluten Free Pale Ale - 6 Pack,,109.2,56.76000000000001,,8.0,6.0
2018-07-12,Booooze,Beer,Ales,736920111112,Goose Island - Honkers Ale - 6 Pack,,37.75,78.3,,5.0,10.0
2018-07-12,Booooze,Beer,Lagers,702770081011,Omission - Gluten Free Lager - 6 Pack,40.12,,93.1,4.0,,10.0
2018-07-12,Booooze,Beer,Stouts,83783575217,Sierra Nevada Brewing Co. - Stout - 6 Pack,,116.71,109.34,,11.0,14.0
2018-07-12,Booooze,Wine,Red,89744402585,Trapiche - Malbec - 750 mL Bottle,60.24,,69.29,8.0,,13.0
2018-07-12,Booooze,Wine,Red,492130008399,Yellow Tail - Merlot - 750 mL Bottle,95.16,,75.6,12.0,,10.0
2018-07-12,Booooze,Wine,Rose,85000024218,Dark Horse - S. Blanc Rose - 750 mL Bottle,93.94,83.82000000000002,,7.0,6.0,
2018-07-12,Booooze,Wine,White,81248501095,Curious Beasts - Chardonnay - 750 mL Bottle,,196.74,85.6,,9.0,4.0
2018-07-13,Booooze,Alcohol,Liquor,80432400630,Glenlivet - 12 Year Scotch Whisky - 750 mL Bottle,,432.74,185.75,,11.0,5.0
2018-07-13,Booooze,Beer,Malts,71250000140,Colt 45 - Malt Liquor - 6 Pack,,103.59,142.44,,9.0,12.0
2018-07-13,Booooze,Beer,Stouts,83783575217,Sierra Nevada Brewing Co. - Stout - 6 Pack,,82.67,75.74000000000002,,7.0,7.0
2018-07-13,Booooze,Wine,Red,492130008399,Yellow Tail - Merlot - 750 mL Bottle,38.6,,17.64,5.0,,4.0
2018-07-13,Booooze,Wine,Rose,85000024218,Dark Horse - S. Blanc Rose - 750 mL Bottle,131.6,156.53,,10.0,11.0,
2018-07-13,Booooze,Wine,White,81248501095,Curious Beasts - Chardonnay - 750 mL Bottle,,121.32,287.28,,6.0,14.0
2018-07-14,Booooze,Alcohol,Liquor,80432400630,Glenlivet - 12 Year Scotch Whisky - 750 mL Bottle,,227.82,268.52,,6.0,7.0
2018-07-14,Booooze,Beer,Ales,94922755711,Bowser Beer - Beefy Brown Ale - 6 Pack,,124.52,113.68,,11.0,14.0
2018-07-14,Booooze,Beer,Ales,736920111112,Goose Island - Honkers Ale - 6 Pack,,45.05,113.49,,5.0,13.0
2018-07-14,Booooze,Beer,Lagers,702770081011,Omission - Gluten Free Lager - 6 Pack,85.04,,128.64,8.0,,12.0
2018-07-14,Booooze,Beer,Stouts,83783575217,Sierra Nevada Brewing Co. - Stout - 6 Pack,,96.8,31.52,,10.0,4.0
2018-07-14,Booooze,Wine,Red,89744402585,Trapiche - Malbec - 750 mL Bottle,41.23,,20.15,7.0,,5.0
2018-07-14,Booooze,Wine,Red,492130008399,Yellow Tail - Merlot - 750 mL Bottle,32.099999999999994,,38.0,6.0,,5.0
2018-07-14,Booooze,Wine,White,81248501095,Curious Beasts - Chardonnay - 750 mL Bottle,,281.9600000000001,80.96,,14.0,4.0
2018-07-15,Booooze,Alcohol,Liqour,80480280024,Grey Goose - Imported Vodka - 750 mL Bottle,,121.2,278.04,,5.0,12.0
2018-07-15,Booooze,Alcohol,Liquor,80432400630,Glenlivet - 12 Year Scotch Whisky - 750 mL Bottle,,415.68,476.64,,12.0,12.0
2018-07-15,Booooze,Alcohol,Liquor,674545000001,Don Julio - Tequila Blanco - 750 mL Bottle,,177.0,430.5,,6.0,14.0
2018-07-15,Booooze,Beer,Ales,94922755711,Bowser Beer - Beefy Brown Ale - 6 Pack,,88.77000000000002,119.47,,11.0,13.0
2018-07-15,Booooze,Beer,Ales,702770082018,Omission Pale Ale - Gluten Free Pale Ale - 6 Pack,,160.2,66.7,,12.0,5.0
2018-07-15,Booooze,Beer,Malts,71250000140,Colt 45 - Malt Liquor - 6 Pack,,139.23000000000002,40.5,,13.0,5.0
2018-07-15,Booooze,Beer,Stouts,83783575217,Sierra Nevada Brewing Co. - Stout - 6 Pack,,134.52,111.48,,12.0,12.0
2018-07-15,Booooze,Wine,Red,89744402585,Trapiche - Malbec - 750 mL Bottle,115.68,,132.6,12.0,,13.0
2018-07-15,Booooze,Wine,Red,492130008399,Yellow Tail - Merlot - 750 mL Bottle,54.27,,58.2,9.0,,12.0
2018-07-16,Booooze,Alcohol,Liqour,80480280024,Grey Goose - Imported Vodka - 750 mL Bottle,,221.04,126.66,,9.0,6.0
2018-07-16,Booooze,Alcohol,Liquor,674545000001,Don Julio - Tequila Blanco - 750 mL Bottle,,161.14999999999995,345.07,,5.0,11.0
2018-07-16,Booooze,Beer,Ales,94922755711,Bowser Beer - Beefy Brown Ale - 6 Pack,,99.4,46.65,,10.0,5.0
2018-07-16,Booooze,Beer,Ales,702770082018,Omission Pale Ale - Gluten Free Pale Ale - 6 Pack,,135.94,143.6,,14.0,10.0
2018-07-16,Booooze,Beer,Lagers,702770081011,Omission - Gluten Free Lager - 6 Pack,174.72,,104.86,14.0,,7.0
2018-07-16,Booooze,Beer,Malts,71250000140,Colt 45 - Malt Liquor - 6 Pack,,47.55,108.48,,5.0,12.0
2018-07-16,Booooze,Wine,Red,89744402585,Trapiche - Malbec - 750 mL Bottle,126.14,,66.16,14.0,,8.0
2018-07-16,Booooze,Wine,Red,492130008399,Yellow Tail - Merlot - 750 mL Bottle,68.46,,46.56,14.0,,6.0
2018-07-16,Booooze,Wine,White,81248501095,Curious Beasts - Chardonnay - 750 mL Bottle,,82.8,266.84,,4.0,14.0
